,text,label_category
0,"It's the city and transport is great, buses, tube, taxi's everywhere, plenty of sites and things to see.","[0, 1, 0, 0, 0, 1, 0, 0, 0]"
1,"Easy to get to with public transport, Victoria station is only 5-10 minutes walk away, there isn't any parking here and mainly pedestrianised.","[0, 0, 0, 0, 1, 1, 0, 0, 0]"
2,"Buckingham palace is high security, but if you visit the website they do offer tours of the palace in the warmer months.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
3,Currently it's so quiet due to lockdown great for photos as not many people around.,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
4,"Queen wasn't in, but great place to come for tourists or just visiting.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
5,Two parks are close by St. James's & Green Park.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
6,It's an impressive place but you cant help but think any other place would not get away with a lot of the stunts they pull.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
7,The only option is to fast forward to the exit if someone demands the toilet half way round.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
8,"First be warned, it's a 1-2hour tour but their are no toilets. not great if you have kids...","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
9,In summer the place can get quite hot and stuffy.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
10,"The gift shop was a major let down having more of a feel of a ""west end souvineer store"" than high end souvineers.","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
11,That said the prices they charged where high end..,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
12,Second is no photography allowed inside.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
13,Spend this money on institutions that support real families instead of this one cartoon family.,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
14,Why do we celebrate this garish display of wealth and inequality?,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
15,It is unconscionable that one family should own a house like this.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
16,Its far larger than any one family could need or even attempt to use.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
17,This should be converted into a museum free for people to enter.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
18,This palace is sickening.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
19,London and the UK will remain grossly unequal places as long as our legal system allows for wealth built on subjugation to be held up as something to admire.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
20,Or it should be subdivided into units that dozens of actual families could purchase and use as residential shelter.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
21,"Further more, she said I have permission to not let you in if you are rude to me.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
22,They shouldn't deal with visitors in such a rude manor.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
23,The lady then threatened to not let me in.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
24,When I told my friend that we arent actually entering yet.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
25,"The lady insisted we put our phones away on her request, even though this was15 minutes prior to entrance which I thought was unnecessary.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
26,"When asking us to put our mobiles away, it was like being at a primary school and dealing with an evil principle.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
27,Unfortunately staff at the door were very rude.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
28,Stunning scenery just not realy my kind of thing visit was part of family vacation when the country is on its knees and u struggle week to week to see how these people live realy hits home dont take your phone out or u get shouted at lmao seriously beacause there is no picture taking alowed i wanted to send a txt i was bored the gift shop is seriously expensive nothing in there under 4 pound so if u have kids wantin lil gift of pencil pens etc make sure u have full wallet or purse lil corgi teddy on a key ring 12 pound what if you have more than 1 child seriously should have a shop for us paupers,"[0, 1, 1, 0, 0, 0, 1, 0, 0]"
29,Went to visit with a large group of about 24.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
30,"Whilst queuing we were told no backpacks can be worn, they must be carried which we thought was going to be annoying but once through security you can drop your bags off to collect at the end.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
31,The whole process of getting in through security like you would find at an air port didn't take too long to get through.,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
32,"It was all fantastic to see, and you finish the tour at the gardens where there is a cafe and gift shop.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
33,They have audio tours suitable for both adults and children.,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
34,"Too crowded a place for public, and heard many cases of pick pocketing but none seen before my eyes, luckily.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
35,"The thieves may have more than 5 accomplice at one particular time, working together in split second.","[0, 0, 0, 0, 0, 0, 0, 1, 0]"
36,Be extra vigilant especially when you're travelling in a group as you're an easy target.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
37,Guard changing ceremony is at 11am every morning but we missed it.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
38,"Nice picture can be taken from behind the flower overlooking the palace, but best pics is during sunny day when cloud and sky looks amazingly blue.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
39,I'd call it a square building.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
40,"Time to be treated like a queen, not worse than a bogan in Australia.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
41,She needs to shift her palace onto a beachside in Australia.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
42,The Queen has a pond with a few ducks.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
43,Housing commission people in Sydney have better views over Sydney harbour.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
44,Awful Hyde park with an awful pond next door.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
45,Small square building and you can only view it behind metal gates which are 100 metres from the so called palace.,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
46,I think the queen really needs to upgrade.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
47,I wouldn't live there if i was a royal.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
48,Eventually we learned that the crowd of people were waiting around all day and nothing was going to happen.,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
49,Since our hotel was close we just walked by as part of a short neighborhood tour.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
50,"We did multiple searches that showed a time or said ""time varies"" but didn't mention that a few days each week nothing happens.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
51,"Some days it doesn't happen, putting up a sign or posting the actual schedule on Wikipedia would be pretty easy.","[0, 0, 0, 0, 1, 0, 0, 0, 0]"
52,Just post the times for the Changing of the Guard!,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
53,We visited Buckingham Palace as a little touristic trip around our own city and just simply forgot how amazing and historical this place really is.,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
54,"As soon as you enter the entrance and start to see the building work you can actually feel the history while walking towards the palace, especially once you go very close and see the guards patrolling the area if you use your imagination correctly you can almost picture how it was and what sort of things would happen in victorian times its really an amazing and very unusual experience but ABSOLUTELY worth the visit you will not be disappointed and the beauty of it is its free to view so what have you got to lose really if your already in london","[1, 0, 0, 0, 0, 0, 0, 0, 0]"
55,I truly wanted to like this attraction.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
56,"So when you are in London, do yourself a favor and avoid this tourist trap!","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
57,"Sadly a 20 minutes ride will set you back £26 or $36.50 a person, which is a total rip off.","[0, 0, 1, 0, 0, 0, 0, 0, 0]"
58,"Furthermore, while we were up there, there is no explanation of what we are looking at.","[0, 0, 0, 0, 0, 0, 1, 0, 0]"
59,"So we basically just spent 20 minutes going in a circle, and looked at 'things'.","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
60,I left feeling totally underwhelmed and wanting my money back.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
61,"It is a part of the London landscape, and is a very imposing structure.","[0, 1, 0, 0, 0, 0, 0, 0, 0]"
62,I can't imagine how busy this must be in summer!,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
63,It was a cold winter day and there were still lines.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
64,And then of course you have to stand in line for the actual ride.,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
