,text,label_category,traintest
0,But the staff was so horrible to us.,"[0, 1, 0, 0, 0]",train
1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.","[0, 0, 0, 1, 1]",train
2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.","[0, 0, 0, 1, 0]",train
3,Where Gabriela personaly greets you and recommends you what to eat.,"[0, 1, 0, 0, 0]",train
4,"For those that go once and don't enjoy it, all I can say is that they just don't get it.","[0, 0, 0, 0, 1]",train
5,"Not only was the food outstanding, but the little 'perks' were great.","[0, 1, 0, 1, 0]",train
6,It is very overpriced and not very tasty.,"[0, 0, 1, 1, 0]",train
7,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,"[0, 1, 0, 1, 0]",train
8,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.","[0, 0, 0, 1, 0]",train
9,Nevertheless the food itself is pretty good.,"[0, 0, 0, 1, 0]",train
10,"i've noticed megadeth, mr. scruff, st. germain, traditional vietnamese songs, black sabbath, jay-z, and daft punk all being played.","[1, 0, 0, 0, 0]",train
11,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.","[0, 0, 0, 1, 0]",train
12,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!","[0, 1, 0, 0, 0]",train
13,The design and atmosphere is just as good.,"[1, 0, 0, 0, 0]",train
14,He has visited Thailand and is quite expert on the cuisine.,"[0, 0, 0, 1, 0]",train
15,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,"[0, 0, 0, 0, 1]",train
16,The pizza is the best if you like thin crusted pizza.,"[0, 0, 0, 1, 0]",train
17,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,"[0, 0, 0, 0, 1]",train
18,"He can't help, they're bought up so fast.","[0, 0, 0, 0, 1]",train
19,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.","[1, 0, 0, 0, 0]",train
20,"i have eaten here a handful of times, for no reason besides sheer convenience.","[0, 0, 0, 0, 1]",train
21,Obviously run by folks who know a pie.,"[0, 1, 0, 0, 0]",train
22,We were very disappointed.,"[0, 0, 0, 0, 1]",train
23,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,"[0, 0, 1, 0, 1]",train
24,I really liked this place.,"[0, 0, 0, 0, 1]",train
25,I will be going back very soon.,"[0, 0, 0, 0, 1]",train
26,"All the money went into the interior decoration, none of it went to the chefs.","[1, 0, 0, 1, 0]",train
27,The seats are uncomfortable if you are sitting against the wall on wooden benches.,"[1, 0, 0, 0, 0]",train
28,"I asked for seltzer with lime, no ice.","[0, 0, 0, 1, 0]",train
29,It was pretty inexpensive too.,"[0, 0, 1, 0, 0]",train
30,Will not be back.,"[0, 0, 0, 0, 1]",train
31,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","[0, 0, 0, 1, 0]",train
32,My suggestion is to eat family style because you'll want to try the other dishes.,"[0, 0, 0, 1, 0]",train
33,"Best of all is the warm vibe, the owner is super friendly and service is fast.","[1, 1, 0, 0, 0]",train
34,This isn't a value joint.,"[0, 0, 1, 0, 0]",train
35,Faan's got a great concept but a little rough on the delivery.,"[0, 1, 0, 0, 1]",train
36,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.","[1, 1, 0, 1, 0]",train
37,"Great food at REASONABLE prices, makes for an evening that can't be beat!","[0, 0, 1, 1, 0]",train
38,Look foward to trying the Ruben upon returning.,"[0, 0, 0, 0, 1]",train
39,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,"[0, 0, 0, 0, 1]",train
40,We usually go to the Chart House to celebrate a birthday or anniversary.,"[0, 0, 0, 0, 1]",train
41,this little place has a cute interior decor and affordable city prices.,"[1, 0, 1, 0, 0]",train
42,You'll adore it.,"[0, 0, 0, 0, 1]",train
43,Two words: Free wine.,"[0, 0, 1, 0, 0]",train
44,The price is reasonable although the service is poor.,"[0, 1, 1, 0, 0]",train
45,"The quantity is also very good, you will come out satisfied.","[0, 0, 0, 1, 0]",train
46,I have been to Roth's twice and both times were very disappointing.,"[0, 0, 0, 0, 1]",train
47,Worth visiting the 1st Ave spot because it is the original store.,"[0, 0, 0, 0, 1]",train
48,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.","[0, 0, 0, 0, 1]",train
