,text,label_category,traintest
0,    LOCATION1 is transforming and the prices will go up and up,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",train
1,  Along LOCATION1 there are lots of Electronics shops (independent ones),"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",train
2,  And LOCATION1 is ten mins direct on the tube to LOCATION2:  ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",train
3,  Another option is LOCATION1 which is very central and has tons of clubs/bars within walking distance of each other,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",train
4,  Best bet is around LOCATION2 and LOCATION1 area in the northwest corner really nice ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",train
5,  Central London based taxis mostly refuse fares to suburban areas like LOCATION1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",train
6,  Don't go looking at places like LOCATION1  now that IS a rough area you really wouldn't want to live in,"[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",train
7,"  Down here in South London the accent [local] tends to be a bit more Kent, while the accent [local] in LOCATION1 tends to be a bit more Essex and Hertfordshire","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
8,  Everyone in LOCATION1 is now black or Bangladeshi,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",train
9,  For gods sake don't move to LOCATION1 its horrible,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",train
10,  I also live in LOCATION1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
11,  I don't live in London but I know the gay part of London would be LOCATION1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
12,  I dont like LOCATION1 at all,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",train
13,  I have friends living in LOCATION1 and love it,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",train
14,  I have heard that LOCATION1 is the place to live in London ,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
15,  I liv in LOCATION1 in LOCATION2 which is a place where a lot of violence happens wiv gangs e,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",train
16,  I live in LOCATION1 and I cant say I recommend it,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",train
17,"  I live in LOCATION1, been here 11 years with no problems","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",train
18,"  I live in LOCATION1, there's great access to transport, some great pubs, beautiful houses in some areas, good schools","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0]",train
19,"  I lived in LOCATION1  for ten years it was rough , it was sooo close to the centre of town but so cheap","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",train
20,  I lived in LOCATION1 for 6 months and adored it,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",train
21,  I lived in LOCATION1 from birth to 23 years very near to the Arsenal Stadium,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
22,  I really like LOCATION1  I lived there for 3 months and had a lot of fun,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
23,"  I really love LOCATION1,  There are some beautiful houses in the conservation area, there is  Broadway Market and it's on the tube","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]",train
24,  I think LOCATION1 is your best bet ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",train
25,"  I was born in LOCATION2 I am a cockney,my father was born along the LOCATION1 ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
26,  I would rather live in LOCATION1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",train
27,  I would say either LOCATION1 or LOCATION2 if you have the money,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",train
